1;1;15.0;2013-09-09 17:34:31.218;true;
2;2;20.0;2013-09-11 16:35:03.0;true;
3;2;15.4;2013-09-23 15:37:12.812;true;
4;1;15.0;2013-10-26 08:32:18.421;true;
5;2;15.0;2013-10-26 08:32:32.015;true;
6;1;9.9;2013-10-26 08:32:49.671;true;
7;1;15.0;2013-11-22 13:12:39.984;true;
8;2;7.5;2013-11-30 12:00:22.609;true;
9;1;20.0;2013-12-06 12:42:21.312;true;
10;2;20.0;2013-12-06 12:42:31.781;true;
11;2;15.0;2014-01-23 09:43:35.703;true;
12;1;20.0;2014-03-07 13:10:39.578;true;
13;2;10.0;2014-03-07 13:10:52.296;true;
14;1;8.0;2014-04-29 16:09:44.234;true;
15;2;18.4;2014-06-24 17:14:01.0;true;
16;2;25.0;2014-07-10 17:26:40.968;true;
17;2;22.0;2014-07-10 17:27:03.843;true;
18;1;20.0;2014-09-12 12:40:54.296;true;
19;2;20.0;2014-09-12 12:41:12.578;true;
20;2;7.5;2014-09-12 12:41:29.171;true;
21;2;9.35;2014-10-29 13:18:26.875;true;
22;1;5.1;2014-10-29 13:18:44.781;true;
23;2;20.0;2014-10-29 13:18:54.0;true;
24;2;22.0;2014-12-05 13:45:29.015;true;
25;2;40.0;2014-12-05 13:45:40.406;true;
26;1;7.5;2014-12-05 13:46:17.515;true;
27;1;8.0;2014-12-05 13:48:28.484;true;
28;2;15.0;2014-12-05 13:48:40.375;true;
29;1;15.0;2014-12-05 13:48:51.906;true;
30;2;25.0;2015-01-15 14:31:58.796;true;
31;2;19.85;2015-01-20 11:41:59.953;true;
32;1;9.35;2015-02-12 15:12:21.531;true;
33;2;10.45;2015-02-12 15:12:40.125;true;
34;1;10.45;2015-05-08 12:27:21.703;true;
35;1;14.9;2015-05-08 12:27:51.453;true;
36;2;17.0;2015-06-06 11:17:57.64;true;
37;2;10.0;2015-08-01 08:01:01.515;true;
38;2;35.0;2015-09-26 11:17:52.421;true;
39;2;20.0;2015-10-29 14:01:15.781;true;
40;1;15.0;2015-10-29 14:01:43.843;true;
41;1;10.0;2015-11-17 16:36:15.25;true;
42;1;15.0;2015-11-17 16:36:26.515;true;
43;1;19.0;2015-12-19 08:37:20.125;true;
44;1;15.0;2015-12-19 11:36:46.953;true;
